,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact
3144,W 67 St & Broadway,40.77492513,-73.98266566,Mediterranean,Boulud Sud,4.0,791,20 W 64th St,(212) 595-1313
3145,W 67 St & Broadway,40.77492513,-73.98266566,Tapas/Small Plates,Ella Social,4.0,681,249 Columbus Ave,(212) 579-9929
3146,W 67 St & Broadway,40.77492513,-73.98266566,Seafood,El Fish Marisquería,4.5,50,155 Amsterdam Ave 67th St,(212) 874-2000
3147,W 67 St & Broadway,40.77492513,-73.98266566,American (Traditional),Sugar Factory,3.0,858,1991 Broadway,(212) 769-9500
3148,W 67 St & Broadway,40.77492513,-73.98266566,American (New),Cafe Luxembourg,4.0,623,200 W 70th St,(212) 873-7411
3149,W 67 St & Broadway,40.77492513,-73.98266566,Moroccan,Shalel Lounge,4.0,677,65 W 70th St,(212) 873-2300
3150,W 67 St & Broadway,40.77492513,-73.98266566,Italian,Il Violino,3.5,335,180 Columbus Ave,(212) 873-2500
3151,W 67 St & Broadway,40.77492513,-73.98266566,Italian,Joanne Trattoria,3.5,630,70 W 68th St,(212) 721-0068
3152,W 67 St & Broadway,40.77492513,-73.98266566,French,Jean-Georges,4.0,2005,1 Central Park W,(212) 299-3900
3153,W 67 St & Broadway,40.77492513,-73.98266566,Italian,Polpette 71,4.0,250,71 West 71st St,(212) 875-1512
3154,W 67 St & Broadway,40.77492513,-73.98266566,American (New),Tavern on the Green,3.5,1939,67 Central Park W,(212) 877-8684
3155,W 67 St & Broadway,40.77492513,-73.98266566,French,Per Se,4.5,1872,10 Columbus Cir,(212) 823-9335
3156,W 67 St & Broadway,40.77492513,-73.98266566,Thai,Thai72,4.0,374,128 W 72nd St,(212) 496-6153
3157,W 67 St & Broadway,40.77492513,-73.98266566,Italian,Parm - New York,3.5,749,235 Columbus Ave,(212) 776-4921
3158,W 67 St & Broadway,40.77492513,-73.98266566,American (New),Momofuku Noodle Bar - Uptown,4.0,585,10 Columbus Cir,(212) 776-4921
3159,W 67 St & Broadway,40.77492513,-73.98266566,American (New),Lilly's Cocktail and Wine,4.0,159,50 W 72nd St,(212) 799-4140
3160,Harrison St & Hudson St,40.71870987,-74.0090009,Sushi Bars,Zutto Japanese American Pub,4.0,1025,77 Hudson St,(212) 233-3287
3161,Harrison St & Hudson St,40.71870987,-74.0090009,Laotian,Khe-Yo,4.0,958,157 Duane St,(212) 587-1089
3162,Harrison St & Hudson St,40.71870987,-74.0090009,Korean,Jungsik,4.5,753,2 Harrison St,(212) 219-0900
3163,Harrison St & Hudson St,40.71870987,-74.0090009,American (New),Marc Forgione,4.5,1006,134 Reade St,(212) 941-9401
3164,Harrison St & Hudson St,40.71870987,-74.0090009,Italian,Locanda Verde,4.0,1837,377 Greenwich St,(212) 925-3797
3165,Harrison St & Hudson St,40.71870987,-74.0090009,Steakhouses,American Cut Steakhouse Tribeca,4.0,656,363 Greenwich St,(212) 226-4736
3166,Harrison St & Hudson St,40.71870987,-74.0090009,American (Traditional),Bubby's Tribeca,4.0,1948,120 Hudson St,(212) 219-0666
3167,Harrison St & Hudson St,40.71870987,-74.0090009,Indian,Tamarind,4.0,1124,99 Hudson St,(212) 775-9000
3168,Harrison St & Hudson St,40.71870987,-74.0090009,Wine Bars,City Vineyard,4.0,1179,233 West St,(646) 677-8350
3169,Harrison St & Hudson St,40.71870987,-74.0090009,Italian,Scalini Fedeli,4.5,357,165 Duane St,(212) 528-0400
3170,Harrison St & Hudson St,40.71870987,-74.0090009,Bars,Tiny's & The Bar Upstairs,4.0,671,135 W Broadway,(212) 374-1135
3171,Harrison St & Hudson St,40.71870987,-74.0090009,American (New),The Odeon,4.0,766,145 W Broadway,(212) 233-0507
3172,Harrison St & Hudson St,40.71870987,-74.0090009,Breakfast & Brunch,Sarabeth's Tribeca,3.5,782,339 Greenwich St,(212) 966-0421
3173,Harrison St & Hudson St,40.71870987,-74.0090009,Cajun/Creole,1803 Nyc,4.0,791,82 Reade St,(212) 267-3000
3174,Harrison St & Hudson St,40.71870987,-74.0090009,Burgers,Au Cheval,4.5,846,33 Cortlandt Aly,(646) 350-2429
3175,Harrison St & Hudson St,40.71870987,-74.0090009,Diners,Walker's,4.0,331,16 N Moore St,(212) 941-0142
3176,Harrison St & Hudson St,40.71870987,-74.0090009,Wine Bars,Terroir Tribeca,4.0,324,24 Harrison St,(212) 625-9463
3177,Harrison St & Hudson St,40.71870987,-74.0090009,American (New),Atera,4.5,331,77 Worth St,(212) 226-1444
3178,Harrison St & Hudson St,40.71870987,-74.0090009,Italian,Gran Morsi,4.5,477,22 Warren St,(212) 577-2725
3179,Harrison St & Hudson St,40.71870987,-74.0090009,American (Traditional),Greenwich Street Tavern,4.0,148,399 Greenwich St,(212) 334-7827
3180,Laight St & Hudson St,40.72185379,-74.00771779,American (Traditional),Bubby's Tribeca,4.0,1948,120 Hudson St,(212) 219-0666
3181,Laight St & Hudson St,40.72185379,-74.00771779,Indian,Paisley,4.5,98,429 Greenwich St,(212) 274-8003
3182,Laight St & Hudson St,40.72185379,-74.00771779,French,La Sirene,4.5,1710,558 Broome St,(212) 925-3061
3183,Laight St & Hudson St,40.72185379,-74.00771779,Wine Bars,City Vineyard,4.0,1179,233 West St,(646) 677-8350
3184,Laight St & Hudson St,40.72185379,-74.00771779,Italian,A Pasta Bar,4.0,518,330 W Broadway,(646) 762-4056
3185,Laight St & Hudson St,40.72185379,-74.00771779,American (New),Lindens,4.5,129,2 Renwick St,(212) 390-8484
3186,Laight St & Hudson St,40.72185379,-74.00771779,Italian,Locanda Verde,4.0,1837,377 Greenwich St,(212) 925-3797
3187,Laight St & Hudson St,40.72185379,-74.00771779,American (New),Marc Forgione,4.5,1006,134 Reade St,(212) 941-9401
3188,Laight St & Hudson St,40.72185379,-74.00771779,French,l’abeille,4.0,47,412 Greenwich St,(212) 542-3898
3189,Laight St & Hudson St,40.72185379,-74.00771779,Burgers,Au Cheval,4.5,846,33 Cortlandt Aly,(646) 350-2429
3190,Laight St & Hudson St,40.72185379,-74.00771779,Korean,Jungsik,4.5,753,2 Harrison St,(212) 219-0900
3191,Laight St & Hudson St,40.72185379,-74.00771779,Mediterranean,Shuka,4.5,953,38 MacDougal St,(212) 475-7500
3192,Laight St & Hudson St,40.72185379,-74.00771779,Diners,Walker's,4.0,331,16 N Moore St,(212) 941-0142
3193,Laight St & Hudson St,40.72185379,-74.00771779,Steakhouses,Wolfgang's Steakhouse,4.0,624,409 Greenwich St,(212) 925-0350
3194,Laight St & Hudson St,40.72185379,-74.00771779,Sushi Bars,Sushi Azabu,4.0,487,428 Greenwich St,(212) 274-0428
3195,Laight St & Hudson St,40.72185379,-74.00771779,American (Traditional),Greenwich Street Tavern,4.0,148,399 Greenwich St,(212) 334-7827
3196,Laight St & Hudson St,40.72185379,-74.00771779,Mexican,Jajaja Mexicana,4.5,614,63 Carmine St,(917) 262-0184
3197,Laight St & Hudson St,40.72185379,-74.00771779,Italian,Rubirosa,4.5,3130,235 Mulberry St,(212) 965-0500
3198,Laight St & Hudson St,40.72185379,-74.00771779,Steakhouses,American Cut Steakhouse Tribeca,4.0,656,363 Greenwich St,(212) 226-4736
3199,Laight St & Hudson St,40.72185379,-74.00771779,Italian,Piccola Cucina Osteria,4.5,794,196 Spring St,(646) 478-7488
3200,E 106 St & 1 Ave,40.7892529,-73.93956237,Mexican,Ollin Restaurant,4.0,462,339 E 108th St,(212) 828-3644
3201,E 106 St & 1 Ave,40.7892529,-73.93956237,Latin American,Cascalote Latin Bistro,4.5,399,2126 2nd Ave,(646) 351-6574
3202,E 106 St & 1 Ave,40.7892529,-73.93956237,Steakhouses,Ricardo Steak House,4.0,1471,2145 2nd Ave,(212) 289-5895
3203,E 106 St & 1 Ave,40.7892529,-73.93956237,Tapas/Small Plates,GAUDIr,4.5,71,251 E 110th St,(212) 744-4422
3204,E 106 St & 1 Ave,40.7892529,-73.93956237,Indian,The Drunken Munkey - UES,4.5,1340,338 E 92nd St,(646) 846-8986
3205,E 106 St & 1 Ave,40.7892529,-73.93956237,Cocktail Bars,Bar Goyana,4.5,50,177 E 100th St,(917) 213-4480
3206,E 106 St & 1 Ave,40.7892529,-73.93956237,Soul Food,SpaHa Soul and Bone Broth,4.5,134,2294 Second Ave,(347) 463-7387
3207,E 106 St & 1 Ave,40.7892529,-73.93956237,Latin American,La Avenida,4.5,109,2247 1st Ave,(212) 828-2247
3208,E 106 St & 1 Ave,40.7892529,-73.93956237,Beer Bar,East Harlem Bottling,4.0,239,1711 Lexington Ave,(646) 922-7705
3209,E 106 St & 1 Ave,40.7892529,-73.93956237,Cuban,Amor Cubano,4.0,578,2018 3rd Ave,(212) 996-1220
3210,E 106 St & 1 Ave,40.7892529,-73.93956237,Irish,The Milton,4.0,491,1754 2nd Ave,(646) 682-7019
3211,E 106 St & 1 Ave,40.7892529,-73.93956237,Tapas/Small Plates,Perch,4.5,45,1693 Lexington Ave,(646) 682-7019
3212,E 106 St & 1 Ave,40.7892529,-73.93956237,Bakeries,La Tropezienne Bakery,4.5,134,2131 1st Ave,(212) 860-5324
3213,E 106 St & 1 Ave,40.7892529,-73.93956237,Italian,Rao's,4.5,210,455 E 114th St,(212) 722-6709
3214,E 106 St & 1 Ave,40.7892529,-73.93956237,Food Trucks,Sidewalk Tacos,4.5,142,2163 2nd Ave,(646) 454-9255
3215,E 106 St & 1 Ave,40.7892529,-73.93956237,Beer Bar,Alison,4.0,129,1651 Lexington Ave,(646) 876-1054
3216,E 106 St & 1 Ave,40.7892529,-73.93956237,Bakeries,Tres Leches Cafe - Harlem,5.0,184,356 E 112th St,(347) 994-8046
3217,E 106 St & 1 Ave,40.7892529,-73.93956237,Thai,Plue,5.0,24,1575 Lexington Ave,(929) 635-2456
3218,E 106 St & 1 Ave,40.7892529,-73.93956237,Japanese,Isohama,4.0,224,1666 3rd Ave,(212) 828-0099
3219,E 106 St & 1 Ave,40.7892529,-73.93956237,Italian,Nick's Pizza,4.0,594,1814 2nd Ave,(212) 987-5700
3220,Richards St & Delavan St,40.6794327,-74.00785041,Seafood,Red Hook Lobster Pound,4.0,1285,284 Van Brunt St,(718) 858-7650
3221,Richards St & Delavan St,40.6794327,-74.00785041,American (New),Grindhaus,4.5,117,275 Van Brunt St,(347) 597-3063
3222,Richards St & Delavan St,40.6794327,-74.00785041,American (Traditional),Red Hook Tavern,4.0,172,329 Van Brunt St,(917) 966-6094
3223,Richards St & Delavan St,40.6794327,-74.00785041,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3224,Richards St & Delavan St,40.6794327,-74.00785041,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3225,Richards St & Delavan St,40.6794327,-74.00785041,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3226,Richards St & Delavan St,40.6794327,-74.00785041,Thai,Boran,4.5,269,462 Court St,(718) 490-0207
3227,Richards St & Delavan St,40.6794327,-74.00785041,American (Traditional),Jalopy Tavern,4.0,41,317 Columbia St,(718) 797-3246
3228,Richards St & Delavan St,40.6794327,-74.00785041,Italian,Fragole Ristorante,4.5,428,394 Court St,(718) 522-7133
3229,Richards St & Delavan St,40.6794327,-74.00785041,Italian,Frankies 457 Spuntino,4.0,904,457 Court St,(718) 403-0033
3230,Richards St & Delavan St,40.6794327,-74.00785041,Barbeque,Hometown Bar-B-Que,4.0,1618,454 Van Brunt St,(347) 294-4644
3231,Richards St & Delavan St,40.6794327,-74.00785041,Italian,Enoteca on Court,4.0,263,347 Court St,(718) 243-1000
3232,Richards St & Delavan St,40.6794327,-74.00785041,American (New),Bar Bruno,4.0,312,520 Henry St,(347) 763-0850
3233,Richards St & Delavan St,40.6794327,-74.00785041,Pizza,Lucali,4.0,1985,575 Henry St,(718) 858-4086
3234,Richards St & Delavan St,40.6794327,-74.00785041,Argentine,Libertador Steakhouse - Brooklyn,4.0,298,404 Henry St,(347) 689-3122
3235,Richards St & Delavan St,40.6794327,-74.00785041,American (New),Fort Defiance,4.0,378,347 Van Brunt St,(347) 689-3122
3236,Richards St & Delavan St,40.6794327,-74.00785041,Sandwiches,Defonte's,4.5,438,379 Columbia St,(718) 625-8052
3237,Richards St & Delavan St,40.6794327,-74.00785041,Italian,Aromi,4.5,44,552 Court St,(347) 529-5752
3238,Richards St & Delavan St,40.6794327,-74.00785041,Southern,Popina,4.5,94,127 Columbia St,(718) 222-1901
3239,Richards St & Delavan St,40.6794327,-74.00785041,Tapas Bars,Mazzat,4.5,251,208 Columbia St,(718) 852-1652
3240,Commerce St & Van Brunt St,40.6812117,-74.00860912,Seafood,Red Hook Lobster Pound,4.0,1285,284 Van Brunt St,(718) 858-7650
3241,Commerce St & Van Brunt St,40.6812117,-74.00860912,American (New),Grindhaus,4.5,117,275 Van Brunt St,(347) 597-3063
3242,Commerce St & Van Brunt St,40.6812117,-74.00860912,American (Traditional),Red Hook Tavern,4.0,172,329 Van Brunt St,(917) 966-6094
3243,Commerce St & Van Brunt St,40.6812117,-74.00860912,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3244,Commerce St & Van Brunt St,40.6812117,-74.00860912,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3245,Commerce St & Van Brunt St,40.6812117,-74.00860912,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3246,Commerce St & Van Brunt St,40.6812117,-74.00860912,American (Traditional),Jalopy Tavern,4.0,41,317 Columbia St,(718) 797-3246
3247,Commerce St & Van Brunt St,40.6812117,-74.00860912,Italian,Fragole Ristorante,4.5,428,394 Court St,(718) 522-7133
3248,Commerce St & Van Brunt St,40.6812117,-74.00860912,Thai,Boran,4.5,269,462 Court St,(718) 490-0207
3249,Commerce St & Van Brunt St,40.6812117,-74.00860912,Italian,Frankies 457 Spuntino,4.0,904,457 Court St,(718) 403-0033
3250,Commerce St & Van Brunt St,40.6812117,-74.00860912,Italian,Enoteca on Court,4.0,263,347 Court St,(718) 243-1000
3251,Commerce St & Van Brunt St,40.6812117,-74.00860912,American (New),Bar Bruno,4.0,312,520 Henry St,(347) 763-0850
3252,Commerce St & Van Brunt St,40.6812117,-74.00860912,Tapas Bars,Mazzat,4.5,251,208 Columbia St,(718) 852-1652
3253,Commerce St & Van Brunt St,40.6812117,-74.00860912,Barbeque,Hometown Bar-B-Que,4.0,1618,454 Van Brunt St,(347) 294-4644
3254,Commerce St & Van Brunt St,40.6812117,-74.00860912,Argentine,Libertador Steakhouse - Brooklyn,4.0,298,404 Henry St,(347) 689-3122
3255,Commerce St & Van Brunt St,40.6812117,-74.00860912,Pizza,Lucali,4.0,1985,575 Henry St,(718) 858-4086
3256,Commerce St & Van Brunt St,40.6812117,-74.00860912,Southern,Popina,4.5,94,127 Columbia St,(718) 222-1901
3257,Commerce St & Van Brunt St,40.6812117,-74.00860912,Italian,Aromi,4.5,44,552 Court St,(347) 529-5752
3258,Commerce St & Van Brunt St,40.6812117,-74.00860912,Italian,Cafe Spaghetti,4.5,100,126 Union St,(347) 529-5752
3259,Commerce St & Van Brunt St,40.6812117,-74.00860912,American (New),Fort Defiance,4.0,378,347 Van Brunt St,(347) 529-5752
3260,Henry St & W 9 St,40.6763744,-74.00324957,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3261,Henry St & W 9 St,40.6763744,-74.00324957,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3262,Henry St & W 9 St,40.6763744,-74.00324957,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3263,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Aromi,4.5,44,552 Court St,(347) 529-5752
3264,Henry St & W 9 St,40.6763744,-74.00324957,Thai,Boran,4.5,269,462 Court St,(718) 490-0207
3265,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Gersi,4.5,360,316 Court St,(347) 889-5077
3266,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Frankies 457 Spuntino,4.0,904,457 Court St,(718) 403-0033
3267,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Cremini's - Aperitivo & Kitchen,4.5,63,521 Court St,(929) 305-2967
3268,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Fragole Ristorante,4.5,428,394 Court St,(718) 522-7133
3269,Henry St & W 9 St,40.6763744,-74.00324957,Thai,Ugly Baby,4.0,447,407 Smith St,(347) 689-3075
3270,Henry St & W 9 St,40.6763744,-74.00324957,French,Levant on Smith,4.5,80,223 Smith St,(347) 689-3694
3271,Henry St & W 9 St,40.6763744,-74.00324957,Seafood,Red Hook Lobster Pound,4.0,1285,284 Van Brunt St,(718) 858-7650
3272,Henry St & W 9 St,40.6763744,-74.00324957,American (Traditional),Red Hook Tavern,4.0,172,329 Van Brunt St,(917) 966-6094
3273,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Enoteca on Court,4.0,263,347 Court St,(718) 243-1000
3274,Henry St & W 9 St,40.6763744,-74.00324957,Italian,Verde on Smith,4.0,870,216 Smith St,(718) 222-1525
3275,Henry St & W 9 St,40.6763744,-74.00324957,Pizza,Lucali,4.0,1985,575 Henry St,(718) 858-4086
3276,Henry St & W 9 St,40.6763744,-74.00324957,Ramen,Za-Ya Ramen,4.5,188,545 Court St,(347) 987-4103
3277,Henry St & W 9 St,40.6763744,-74.00324957,American (New),Bar Bruno,4.0,312,520 Henry St,(347) 763-0850
3278,Henry St & W 9 St,40.6763744,-74.00324957,French,Bar Bête,4.5,86,263 Smith St,(347) 844-9950
3279,Henry St & W 9 St,40.6763744,-74.00324957,Lounges,Clover Club,4.0,863,210 Smith St,(718) 855-7939
3280,Columbia St & W 9 St,40.6769993,-74.00647134,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3281,Columbia St & W 9 St,40.6769993,-74.00647134,Seafood,Red Hook Lobster Pound,4.0,1285,284 Van Brunt St,(718) 858-7650
3282,Columbia St & W 9 St,40.6769993,-74.00647134,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3283,Columbia St & W 9 St,40.6769993,-74.00647134,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3284,Columbia St & W 9 St,40.6769993,-74.00647134,Italian,Gersi,4.5,360,316 Court St,(347) 889-5077
3285,Columbia St & W 9 St,40.6769993,-74.00647134,American (Traditional),Red Hook Tavern,4.0,172,329 Van Brunt St,(917) 966-6094
3286,Columbia St & W 9 St,40.6769993,-74.00647134,American (New),Grindhaus,4.5,117,275 Van Brunt St,(347) 597-3063
3287,Columbia St & W 9 St,40.6769993,-74.00647134,Thai,Boran,4.5,269,462 Court St,(718) 490-0207
3288,Columbia St & W 9 St,40.6769993,-74.00647134,Italian,Frankies 457 Spuntino,4.0,904,457 Court St,(718) 403-0033
3289,Columbia St & W 9 St,40.6769993,-74.00647134,Italian,Fragole Ristorante,4.5,428,394 Court St,(718) 522-7133
3290,Columbia St & W 9 St,40.6769993,-74.00647134,Italian,Aromi,4.5,44,552 Court St,(347) 529-5752
3291,Columbia St & W 9 St,40.6769993,-74.00647134,Barbeque,Hometown Bar-B-Que,4.0,1618,454 Van Brunt St,(347) 294-4644
3292,Columbia St & W 9 St,40.6769993,-74.00647134,Italian,Enoteca on Court,4.0,263,347 Court St,(718) 243-1000
3293,Columbia St & W 9 St,40.6769993,-74.00647134,American (New),Bar Bruno,4.0,312,520 Henry St,(347) 763-0850
3294,Columbia St & W 9 St,40.6769993,-74.00647134,Thai,Ugly Baby,4.0,447,407 Smith St,(347) 689-3075
3295,Columbia St & W 9 St,40.6769993,-74.00647134,Pizza,Lucali,4.0,1985,575 Henry St,(718) 858-4086
3296,Columbia St & W 9 St,40.6769993,-74.00647134,American (New),Fort Defiance,4.0,378,347 Van Brunt St,(718) 858-4086
3297,Columbia St & W 9 St,40.6769993,-74.00647134,Sandwiches,Defonte's,4.5,438,379 Columbia St,(718) 625-8052
3298,Columbia St & W 9 St,40.6769993,-74.00647134,Tapas Bars,Mazzat,4.5,251,208 Columbia St,(718) 852-1652
3299,Columbia St & W 9 St,40.6769993,-74.00647134,Seafood,Petite Crevette,4.0,342,144 Union St,(718) 855-2632
3300,Court St & Nelson St,40.6763947,-73.99869893,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3301,Court St & Nelson St,40.6763947,-73.99869893,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3302,Court St & Nelson St,40.6763947,-73.99869893,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3303,Court St & Nelson St,40.6763947,-73.99869893,Thai,Boran,4.5,269,462 Court St,(718) 490-0207
3304,Court St & Nelson St,40.6763947,-73.99869893,Italian,Aromi,4.5,44,552 Court St,(347) 529-5752
3305,Court St & Nelson St,40.6763947,-73.99869893,Italian,Frankies 457 Spuntino,4.0,904,457 Court St,(718) 403-0033
3306,Court St & Nelson St,40.6763947,-73.99869893,Thai,Ugly Baby,4.0,447,407 Smith St,(347) 689-3075
3307,Court St & Nelson St,40.6763947,-73.99869893,American (New),Luana’s Tavern,4.5,15,449 Court St,(929) 298-0321
3308,Court St & Nelson St,40.6763947,-73.99869893,Italian,Cremini's - Aperitivo & Kitchen,4.5,63,521 Court St,(929) 305-2967
3309,Court St & Nelson St,40.6763947,-73.99869893,Italian,Fragole Ristorante,4.5,428,394 Court St,(718) 522-7133
3310,Court St & Nelson St,40.6763947,-73.99869893,Italian,Gersi,4.5,360,316 Court St,(347) 889-5077
3311,Court St & Nelson St,40.6763947,-73.99869893,Italian,Enoteca on Court,4.0,263,347 Court St,(718) 243-1000
3312,Court St & Nelson St,40.6763947,-73.99869893,Wine Bars,Franks Wine Bar,4.0,37,465 Court St,(718) 254-0327
3313,Court St & Nelson St,40.6763947,-73.99869893,Ramen,Za-Ya Ramen,4.5,188,545 Court St,(347) 987-4103
3314,Court St & Nelson St,40.6763947,-73.99869893,Grocery,Court Street Grocers,4.5,338,485 Court St,(718) 722-7229
3315,Court St & Nelson St,40.6763947,-73.99869893,Bars,Travel Bar,4.5,58,520 Court St,(718) 858-2509
3316,Court St & Nelson St,40.6763947,-73.99869893,Coffee & Tea,Le Petit Café,3.5,569,502 Court St,(718) 596-7060
3317,Court St & Nelson St,40.6763947,-73.99869893,French,Levant on Smith,4.5,80,223 Smith St,(347) 689-3694
3318,Court St & Nelson St,40.6763947,-73.99869893,Pizza,Lucali,4.0,1985,575 Henry St,(718) 858-4086
3319,Court St & Nelson St,40.6763947,-73.99869893,Pizza,Peppino's Brick Oven Pizza & Restaurant,4.5,499,469 5th Ave,(718) 768-7244
3320,Clinton St & 4 Place,40.6783563,-74.00014502,Thai,Boran,4.5,269,462 Court St,(718) 490-0207
3321,Clinton St & 4 Place,40.6783563,-74.00014502,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3322,Clinton St & 4 Place,40.6783563,-74.00014502,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3323,Clinton St & 4 Place,40.6783563,-74.00014502,Italian,Frankies 457 Spuntino,4.0,904,457 Court St,(718) 403-0033
3324,Clinton St & 4 Place,40.6783563,-74.00014502,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3325,Clinton St & 4 Place,40.6783563,-74.00014502,Italian,Aromi,4.5,44,552 Court St,(347) 529-5752
3326,Clinton St & 4 Place,40.6783563,-74.00014502,Thai,Ugly Baby,4.0,447,407 Smith St,(347) 689-3075
3327,Clinton St & 4 Place,40.6783563,-74.00014502,Pizza,Lucali,4.0,1985,575 Henry St,(718) 858-4086
3328,Clinton St & 4 Place,40.6783563,-74.00014502,American (New),Luana’s Tavern,4.5,15,449 Court St,(929) 298-0321
3329,Clinton St & 4 Place,40.6783563,-74.00014502,Italian,Fragole Ristorante,4.5,428,394 Court St,(718) 522-7133
3330,Clinton St & 4 Place,40.6783563,-74.00014502,Italian,Enoteca on Court,4.0,263,347 Court St,(718) 243-1000
3331,Clinton St & 4 Place,40.6783563,-74.00014502,Italian,Gersi,4.5,360,316 Court St,(347) 889-5077
3332,Clinton St & 4 Place,40.6783563,-74.00014502,Italian,Cremini's - Aperitivo & Kitchen,4.5,63,521 Court St,(929) 305-2967
3333,Clinton St & 4 Place,40.6783563,-74.00014502,Coffee & Tea,Le Petit Café,3.5,569,502 Court St,(718) 596-7060
3334,Clinton St & 4 Place,40.6783563,-74.00014502,French,Levant on Smith,4.5,80,223 Smith St,(347) 689-3694
3335,Clinton St & 4 Place,40.6783563,-74.00014502,Wine Bars,Franks Wine Bar,4.0,37,465 Court St,(718) 254-0327
3336,Clinton St & 4 Place,40.6783563,-74.00014502,Grocery,Court Street Grocers,4.5,338,485 Court St,(718) 722-7229
3337,Clinton St & 4 Place,40.6783563,-74.00014502,American (New),Bar Bruno,4.0,312,520 Henry St,(347) 763-0850
3338,Clinton St & 4 Place,40.6783563,-74.00014502,Bars,Travel Bar,4.5,58,520 Court St,(718) 858-2509
3339,Clinton St & 4 Place,40.6783563,-74.00014502,Seafood,Red Hook Lobster Pound,4.0,1285,284 Van Brunt St,(718) 858-7650
3340,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Mexican,Chela Park Slope,4.5,664,408 5th Ave,(718) 701-1891
3341,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Seafood,Bar Crudo,4.5,263,412 Fifth Ave,(718) 701-1894
3342,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Cocktail Bars,Sweet Talk,4.0,297,457 3rd Ave,(718) 499-3400
3343,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Pizza,Table 87 - Gowanus,4.0,422,473 3rd Ave,(718) 965-8400
3344,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Modern European,Baba's Pierogies,4.5,473,295 3rd Ave,(718) 222-0777
3345,7 St & 3 Ave,40.67260298150126,-73.98983001708984,American (New),Buttermilk Channel,4.0,2036,524 Court St,(718) 852-8490
3346,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Argentine,El Mate,4.5,359,550 Court St,(718) 222-1102
3347,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Turkish,Tava Turkish and Mediterranean,4.5,263,318 5th Ave,(718) 499-5600
3348,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Latin American,Surfish Bistro,4.0,440,550 3rd Ave,(718) 788-8070
3349,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Brazilian,Santo Bruklin,4.5,258,548 Court St,(917) 909-1231
3350,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Pizza,Peppino's Brick Oven Pizza & Restaurant,4.5,499,469 5th Ave,(718) 768-7244
3351,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Italian,Terre,4.5,176,341 5th Ave,(718) 788-2285
3352,7 St & 3 Ave,40.67260298150126,-73.98983001708984,American (Traditional),Terrace Restaurant and Bakery,4.5,127,280 5th Ave,(929) 624-2646
3353,7 St & 3 Ave,40.67260298150126,-73.98983001708984,French,Olivier Bistro,4.0,371,469 4th Ave,(718) 768-6600
3354,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Caribbean,Negril BK,4.0,839,256 5th Ave,(347) 721-3801
3355,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Italian,Piccoli Trattoria,4.5,587,522 6th Ave,(718) 788-0066
3356,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Mexican,Claro,4.0,340,284 3rd Ave,(347) 721-3126
3357,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Mediterranean,Athena Mediterranean Cuisine,4.5,423,535 6th Ave,(718) 965-4578
3358,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Kosher,Bison & Bourbon,3.0,218,191 7th St,(718) 422-0801
